block_code,latitude,longitude,Skill_Score
Z70B315,25.388589,51.468044,2.14
Z70B312,25.381913,51.470812,2.16
Z70B095,25.47642,51.413166,2.22
Z85B003,25.374161,51.115716,2.31
Z81B039,25.144589,51.408156,2.22
Z70B274,25.393771,51.452042,2.21
Z70B272,25.399002,51.454182,2.2
Z70B267,25.397682,51.441491,2.15
Z70B266,25.396062,51.438269,2.2
Z70B301,25.382036,51.458155,2.23
Z70B021,25.581756,51.480374,2.23
Z70B017,25.57053,51.482823,2.18
Z70B083,25.492619,51.415409,2.2
Z70B081,25.497371,51.41744,2.19
Z70B276,25.393759,51.447597,2.25
Z79B034,26.122817,51.207345,2.17
Z70B176,25.437866,51.479553,1.95
Z69B065,25.387729,51.512887,2.19
Z70B261,25.402378,51.443758,2.17
Z70B257,25.404545,51.449857,2.19
Z70B259,25.405982,51.443317,2.22
Z70B268,25.399204,51.445591,2.13
Z69B057,25.405889,51.506332,2.24
Z69B079,25.390391,51.528847,2.21
Z69B021,25.425492,51.505782,2.27
Z70B125,25.463953,51.413824,2.21
Z70B128,25.465144,51.417839,2.14
Z70B121,25.469001,51.413856,2.16
Z70B096,25.47318,51.413682,2.15
Z73B022,25.616219,51.086488,2.42
Z73B024,25.614552,51.080267,2.16
Z70B273,25.395595,51.456114,2.16
Z70B203,25.432573,51.428673,2.0
Z70B065,25.54416,51.43182,2.2
Z70B068,25.544878,51.419746,2.21
Z70B061,25.54415,51.435796,2.21
Z70B067,25.544213,51.424739,2.22
Z70B049,25.552119,51.422643,2.19
Z70B054,25.559058,51.432765,2.21
Z78B012,26.122674,51.176811,2.19
Z78B016,26.119934,51.184343,2.16
Z91B032,25.183153,51.578149,2.19
Z53B136,25.29056,51.403756,2.0
Z53B137,25.293879,51.403789,2.19
Z55B245,25.246704,51.397831,2.21
Z55B247,25.243503,51.39413,2.21
Z55B251,25.250469,51.393001,2.19
Z55B252,25.249621,51.399106,2.2
Z06B005,25.284065,51.536047,2.16
Z06B016,25.285532,51.539709,2.17
Z06B014,25.285835,51.538936,2.16
Z06B003,25.285971,51.536212,2.23
Z06B002,25.285812,51.538273,2.11
Z55B265,25.251015,51.374743,2.24
Z55B267,25.252302,51.368017,2.18
Z74B170,25.685455,51.510749,2.18
Z75B090,25.726309,51.533099,2.12
Z79B021,26.138165,51.195731,2.24
Z79B032,26.122708,51.196837,2.17
Z78B042,26.05778,51.205997,2.23
Z70B314,25.385475,51.474121,2.31
Z82B007,25.242327,51.210292,2.2
Z90B130,25.164241,51.595174,2.22
